#{"t_start": 1767376709.5581658, "env_id": "None"}
r,l,t
-55.0,46,333.840424
274.0,375,335.035915
-45.0,56,335.204551
8.0,109,335.527134
12.0,113,335.859917
4.0,105,336.164867
-52.0,49,336.335188
276.0,377,337.45869
-55.0,46,337.614001
2.0,103,338.006289
59.0,160,342.091136
2.0,103,342.469744
119.0,220,343.158224
-54.0,47,343.309662
-46.0,55,343.495151
5.0,106,343.853447
-47.0,54,344.03802
-46.0,55,344.231895
371.0,472,345.793094
-46.0,55,345.969413
6.0,107,346.316869
63.0,164,346.832
276.0,377,348.034808
-49.0,52,348.194746
4.0,105,348.530195
172.0,273,352.935761
10.0,111,353.297792
60.0,161,353.810961
2.0,103,354.170115
59.0,160,354.711582
-48.0,53,354.85853
5.0,106,355.22817
-45.0,56,355.430976
7.0,108,355.737782
63.0,164,356.301163
-45.0,56,356.562416
121.0,222,357.340137
5.0,106,358.196639
-48.0,53,358.381155
66.0,167,358.88129
168.0,269,363.539243
-51.0,50,363.690376
510.0,611,365.60841
5.0,106,365.951114
9.0,110,366.292547
62.0,163,366.831491
4.0,105,367.141533
4.0,105,367.438281
-47.0,54,367.645144
62.0,163,368.23602
62.0,163,368.811614
4.0,105,369.17045
120.0,221,373.632732
175.0,276,374.528904
62.0,163,375.056195
69.0,170,375.578313
8.0,109,375.93109
64.0,165,376.471564
-54.0,47,376.627352
-54.0,47,376.779553
-53.0,48,376.932392
4.0,105,377.262799
-54.0,47,377.419593
-54.0,47,377.591342
119.0,220,378.32507
-54.0,47,378.486629
11.0,112,378.886085
2.0,103,379.199531
67.0,168,379.732849
4.0,105,380.079514
-54.0,47,380.265669
-54.0,47,384.019682
224.0,325,384.954633
119.0,220,385.651765
-45.0,56,385.823415
-54.0,47,385.980598
63.0,164,386.525739
3.0,104,386.888767
171.0,272,387.792707
614.0,715,390.774642
4.0,105,391.106251
327.0,428,396.214241
-51.0,50,396.359942
380.0,481,397.7846
-54.0,47,397.97519
6.0,107,398.289166
62.0,163,398.843554
70.0,171,399.365846
12.0,113,399.740285
-54.0,47,399.888255
-49.0,52,400.0688
284.0,385,401.262003
-53.0,48,404.97572
-54.0,47,405.141306
-46.0,55,405.312028
115.0,216,406.004744
332.0,433,407.312597
124.0,225,408.122452
-51.0,50,408.295285
73.0,174,408.892024
-46.0,55,409.048326
9.0,110,409.370832
-47.0,54,409.568745
3.0,104,409.904043
4.0,105,410.236643
-48.0,53,410.412488
-51.0,50,410.569356
8.0,109,410.936436
-54.0,47,411.118109
-46.0,55,411.308315
-48.0,53,411.472576
60.0,161,415.680799
-47.0,54,415.857037
117.0,218,416.539751
-54.0,47,416.727868
11.0,112,417.063348
7.0,108,417.400009
280.0,381,418.653519
7.0,108,419.008878
65.0,166,419.55617
479.0,580,421.458254
-55.0,46,421.644675
62.0,163,426.07483
-54.0,47,426.288017
224.0,325,427.339953
-54.0,47,427.488661
120.0,221,428.231184
117.0,218,428.914653
-52.0,49,429.072589
120.0,221,430.027865
-54.0,47,430.17338
118.0,219,431.026881
11.0,112,431.435763
120.0,221,432.208375
225.0,326,436.909259
14.0,115,437.254613
60.0,161,437.801145
116.0,217,438.520226
-45.0,56,438.722964
227.0,328,439.83303
382.0,483,441.436383
-47.0,54,441.619355
10.0,111,442.030168
227.0,328,443.139052
15.0,116,446.991346
69.0,170,447.609525
-45.0,56,447.78592
171.0,272,448.647729
372.0,473,450.128483
225.0,326,451.271026
62.0,163,451.821363
325.0,426,453.201371
-49.0,52,453.387731
115.0,216,457.736629
5.0,106,458.067374
322.0,423,459.426389
63.0,164,459.989697
520.0,621,462.150277
372.0,473,463.770184
-50.0,51,463.936168
426.0,527,469.270901
171.0,272,470.200655
4.0,105,470.555031
5.0,106,470.908503
-55.0,46,471.049718
323.0,424,472.421227
-46.0,55,472.589969
118.0,219,473.292248
64.0,165,473.837768
117.0,218,474.599055
-45.0,56,478.518351
10.0,111,478.894381
12.0,113,479.240507
-49.0,52,479.431961
124.0,225,480.127769
62.0,163,480.708857
745.0,846,483.335173
-46.0,55,483.493603
-51.0,50,483.669626
65.0,166,484.173901
425.0,526,489.965906
287.0,388,491.25685
119.0,220,491.944766
73.0,174,492.467438
476.0,577,494.440508
174.0,275,495.294775
4.0,105,495.612896
-46.0,55,499.257686
2.0,103,499.641998
12.0,113,500.018532
67.0,168,500.640741
70.0,171,501.192109
-47.0,54,501.372607
13.0,114,501.779033
12.0,113,502.143825
-45.0,56,502.327124
13.0,114,502.676921
-48.0,53,502.84547
-47.0,54,503.006781
175.0,276,503.883018
13.0,114,504.221189
12.0,113,504.651093
116.0,217,505.36832
126.0,227,509.7759
-47.0,54,509.953882
742.0,843,512.819819
-45.0,56,513.009421
-49.0,52,513.173737
-46.0,55,513.343173
375.0,476,514.992214
-47.0,54,515.169129
-54.0,47,515.313056
700.0,801,521.952164
73.0,174,522.574636
236.0,337,523.618411
570.0,671,525.857255
1104.0,1205,533.209385
-46.0,55,533.380494
6.0,107,533.725128
-46.0,55,533.889934
14.0,115,534.281509
-46.0,55,534.487069
116.0,217,535.235104
11.0,112,535.596362
826.0,927,542.448866
381.0,482,543.941405
178.0,279,544.883079
118.0,219,545.566557
-55.0,46,545.720706
172.0,273,546.623376
-54.0,47,546.759145
484.0,585,552.254063
281.0,382,553.876517
425.0,526,555.568407
274.0,375,556.889717
118.0,219,557.585417
6.0,107,557.90303
-48.0,53,558.060322
8.0,109,558.415036
-54.0,47,562.200053
67.0,168,562.7384
-54.0,47,562.917478
67.0,168,563.469882
379.0,480,565.090708
228.0,329,566.271576
12.0,113,566.623761
-46.0,55,566.789307
-54.0,47,566.965503
-46.0,55,567.153343
-46.0,55,567.365764
328.0,429,568.850172
224.0,325,573.593606
116.0,217,574.32829
62.0,163,574.85882
69.0,170,575.381227
6.0,107,575.712949
11.0,112,576.07986
-46.0,55,576.2456
517.0,618,578.392461
-48.0,53,578.56092
282.0,383,583.528309
123.0,224,584.35307
325.0,426,585.761047
-54.0,47,585.918374
116.0,217,587.042016
228.0,329,588.303384
60.0,161,588.80792
-46.0,55,588.978742
325.0,426,590.356477
-48.0,53,590.531428
523.0,624,596.405276
63.0,164,596.947151
7.0,108,597.346948
-47.0,54,597.537569
-54.0,47,597.667837
12.0,113,598.012853
62.0,163,598.563698
-54.0,47,598.747838
739.0,840,605.182395
117.0,218,605.825072
15.0,116,606.202173
15.0,116,606.566463
13.0,114,606.952515
-54.0,47,607.109944
566.0,667,609.26293
169.0,270,610.209286
330.0,431,615.279748
-47.0,54,615.43708
378.0,479,617.014337
277.0,378,618.14164
281.0,382,619.897989
7.0,108,620.246608
61.0,162,620.759757
476.0,577,626.406229
-46.0,55,626.594541
-45.0,56,626.789888
13.0,114,627.25998
173.0,274,628.137233
383.0,484,629.667889
222.0,323,630.79786
277.0,378,632.026974
-51.0,50,632.181282
2.0,103,632.524148
425.0,526,638.265177
179.0,280,639.182142
12.0,113,639.548407
-46.0,55,639.713789
557.0,658,641.785277
72.0,173,642.327752
13.0,114,642.688906
119.0,220,647.018734
179.0,280,647.938923
-46.0,55,648.143204
324.0,425,649.561092
328.0,429,651.104549
12.0,113,651.90616
378.0,479,653.572033
382.0,483,658.962634
521.0,622,661.003407
14.0,115,661.371111
613.0,714,663.868031
230.0,331,664.918265
-48.0,53,668.66214
521.0,622,670.955498
112.0,213,671.638624
474.0,575,673.525866
374.0,475,675.094147
517.0,618,680.644761
946.0,1047,684.648116
13.0,114,685.065737
479.0,580,690.794108
278.0,379,692.010048
14.0,115,692.355156
178.0,279,693.185434
6.0,107,693.518082
520.0,621,695.604749
117.0,218,696.360166
330.0,431,701.442076
274.0,375,702.664685
121.0,222,703.391131
170.0,271,704.285771
789.0,890,707.111189
-54.0,47,711.116958
-54.0,47,711.256552
-49.0,52,711.439744
515.0,616,713.324633
-45.0,56,713.508701
